city;x;y
Ясный;51.022987;59.873898
Яхрома;56.294109;37.484669
;;
;;
;;
;;
;;
;;
;;
;;
